2016-06-08 17:17:47,204 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer br.edu.ufcg.ccc:leda-compactor-tool:1.0.0-SNAPSHOT/maven-metadata.xml from http://web.cloud.lsd.ufcg.edu.br:44174/nexus/content/repositories/br.edu.ufcg was cached in the local repository, resolution will not be reattempted until the update interval of ufcg-maven2 has elapsed or updates are forced. Original error: Could not transfer metadata br.edu.ufcg.ccc:leda-compactor-tool:1.0.0-SNAPSHOT/maven-metadata.xml from/to ufcg-maven2 (http://web.cloud.lsd.ufcg.edu.br:44174/nexus/content/repositories/br.edu.ufcg): web.cloud.lsd.ufcg.edu.br: unknown error
2016-06-08 17:17:47,976 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.edu.ufcg.computacao:submission:1.0 @ /home/gersonsales/github/leda/LEDA/roteiros/roteiro(2)/Roteiro-OrdenacaoPorComparacao-II-environment-T3/pom.xml.
2016-06-08 17:17:48,061 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.edu.ufcg.computacao:submission:1.0 @ /home/gersonsales/github/leda/LEDA/roteiros/roteiro(2)/Roteiro-OrdenacaoPorComparacao-II-environment-T1_T2/pom.xml.
2016-06-08 17:17:49,586 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Roteiro-OrdenacaoPorComparacao-II-environment-T1_T2/src/main/java
2016-06-08 17:17:49,588 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Roteiro-OrdenacaoPorComparacao-II-environment-T1_T2/src/test/java
2016-06-08 17:17:51,336 [Worker-3] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 2 project(s) in 4 sec
2016-06-08 17:17:52,798 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-08 17:17:52,800 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsales/github/leda/LEDA/roteiros/roteiro(2)/Roteiro-OrdenacaoPorComparacao-II-environment-T1_T2/src/main/resources
2016-06-08 17:17:52,812 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-08 17:17:52,812 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsales/github/leda/LEDA/roteiros/roteiro(2)/Roteiro-OrdenacaoPorComparacao-II-environment-T1_T2/src/test/resources
2016-06-08 17:17:52,840 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-08 17:17:52,840 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsales/github/leda/LEDA/roteiros/roteiro(2)/Roteiro-OrdenacaoPorComparacao-II-environment-T3/src/main/resources
2016-06-08 17:17:52,852 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-08 17:17:52,852 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsales/github/leda/LEDA/roteiros/roteiro(2)/Roteiro-OrdenacaoPorComparacao-II-environment-T3/src/test/resources
2016-06-08 17:18:07,858 [Worker-12] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-06-08 17:18:08,023 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer br.edu.ufcg.ccc:leda-compactor-tool:1.0.0-SNAPSHOT/maven-metadata.xml from http://web.cloud.lsd.ufcg.edu.br:44174/nexus/content/repositories/br.edu.ufcg was cached in the local repository, resolution will not be reattempted until the update interval of ufcg-maven2 has elapsed or updates are forced. Original error: Could not transfer metadata br.edu.ufcg.ccc:leda-compactor-tool:1.0.0-SNAPSHOT/maven-metadata.xml from/to ufcg-maven2 (http://web.cloud.lsd.ufcg.edu.br:44174/nexus/content/repositories/br.edu.ufcg): web.cloud.lsd.ufcg.edu.br: unknown error
2016-06-08 17:18:08,049 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.edu.ufcg.computacao:submission:1.0 @ /home/gersonsales/github/leda/LEDA/roteiros/roteiro(2)/Roteiro-OrdenacaoPorComparacao-II-environment-T3/pom.xml.
2016-06-08 17:18:08,262 [Worker-12] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Roteiro-OrdenacaoPorComparacao-II-environment-T3/src/main/java
2016-06-08 17:18:08,263 [Worker-12] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Roteiro-OrdenacaoPorComparacao-II-environment-T3/src/test/java
2016-06-08 17:18:08,330 [Worker-12] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2016-06-08 17:18:08,562 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-08 17:18:08,562 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsales/github/leda/LEDA/roteiros/roteiro(2)/Roteiro-OrdenacaoPorComparacao-II-environment-T3/src/main/resources
2016-06-08 17:18:08,568 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-08 17:18:08,568 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsales/github/leda/LEDA/roteiros/roteiro(2)/Roteiro-OrdenacaoPorComparacao-II-environment-T3/src/test/resources
2016-06-09 00:09:24,760 [Worker-66] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-09 00:09:24,761 [Worker-66] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsales/github/leda/LEDA/roteiros/roteiro(2)/Roteiro-OrdenacaoPorComparacao-II-environment-T1_T2/src/main/resources
2016-06-09 00:09:24,763 [Worker-66] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-09 00:09:24,764 [Worker-66] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsales/github/leda/LEDA/roteiros/roteiro(2)/Roteiro-OrdenacaoPorComparacao-II-environment-T1_T2/src/test/resources
2016-06-09 00:11:49,593 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-09 00:11:49,593 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsales/github/leda/LEDA/roteiros/roteiro(2)/Roteiro-OrdenacaoPorComparacao-II-environment-T1_T2/src/main/resources
2016-06-09 00:11:49,594 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-09 00:11:49,595 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsales/github/leda/LEDA/roteiros/roteiro(2)/Roteiro-OrdenacaoPorComparacao-II-environment-T1_T2/src/test/resources
2016-06-09 00:14:47,656 [Worker-66] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-09 00:14:47,656 [Worker-66] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsales/github/leda/LEDA/roteiros/roteiro(2)/Roteiro-OrdenacaoPorComparacao-II-environment-T1_T2/src/main/resources
2016-06-09 00:14:47,658 [Worker-66] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-09 00:14:47,658 [Worker-66] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsales/github/leda/LEDA/roteiros/roteiro(2)/Roteiro-OrdenacaoPorComparacao-II-environment-T1_T2/src/test/resources
2016-06-09 00:14:48,687 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-09 00:14:48,688 [Worker-48] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsales/github/leda/LEDA/roteiros/roteiro(2)/Roteiro-OrdenacaoPorComparacao-II-environment-T1_T2/src/main/resources
2016-06-09 00:14:48,689 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-09 00:14:48,690 [Worker-48] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsales/github/leda/LEDA/roteiros/roteiro(2)/Roteiro-OrdenacaoPorComparacao-II-environment-T1_T2/src/test/resources
2016-06-09 00:14:54,297 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-09 00:14:54,298 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsales/github/leda/LEDA/roteiros/roteiro(2)/Roteiro-OrdenacaoPorComparacao-II-environment-T1_T2/src/main/resources
2016-06-09 00:14:54,301 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-09 00:14:54,301 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsales/github/leda/LEDA/roteiros/roteiro(2)/Roteiro-OrdenacaoPorComparacao-II-environment-T1_T2/src/test/resources
2016-06-09 00:16:14,841 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-09 00:16:14,841 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsales/github/leda/LEDA/roteiros/roteiro(2)/Roteiro-OrdenacaoPorComparacao-II-environment-T1_T2/src/main/resources
2016-06-09 00:16:14,843 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-09 00:16:14,843 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsales/github/leda/LEDA/roteiros/roteiro(2)/Roteiro-OrdenacaoPorComparacao-II-environment-T1_T2/src/test/resources
2016-06-09 00:16:29,673 [Worker-73] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-09 00:16:29,674 [Worker-73] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsales/github/leda/LEDA/roteiros/roteiro(2)/Roteiro-OrdenacaoPorComparacao-II-environment-T1_T2/src/main/resources
2016-06-09 00:16:29,675 [Worker-73] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-09 00:16:29,675 [Worker-73] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsales/github/leda/LEDA/roteiros/roteiro(2)/Roteiro-OrdenacaoPorComparacao-II-environment-T1_T2/src/test/resources
2016-06-09 00:16:54,971 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-09 00:16:54,972 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsales/github/leda/LEDA/roteiros/roteiro(2)/Roteiro-OrdenacaoPorComparacao-II-environment-T1_T2/src/main/resources
2016-06-09 00:16:54,976 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-09 00:16:54,977 [Worker-67] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsales/github/leda/LEDA/roteiros/roteiro(2)/Roteiro-OrdenacaoPorComparacao-II-environment-T1_T2/src/test/resources
2016-06-09 00:17:02,062 [Worker-66] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-09 00:17:02,062 [Worker-66] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsales/github/leda/LEDA/roteiros/roteiro(2)/Roteiro-OrdenacaoPorComparacao-II-environment-T1_T2/src/main/resources
2016-06-09 00:17:02,064 [Worker-66] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-09 00:17:02,064 [Worker-66] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/gersonsales/github/leda/LEDA/roteiros/roteiro(2)/Roteiro-OrdenacaoPorComparacao-II-environment-T1_T2/src/test/resources
2016-06-09 00:17:22,503 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
